Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $306.71/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0xb40b33a6e6dd906b71f89ba35599f195e86ee85ca70c74850a7a757de780e383,19883637,1658825909,7/26/22 8:58,0x6e9afd530416fc332d47939463c292d9062209b1,0x724b43a61c0a8c2f9b5e776680537db4d723ebdd,,0,82.19522498,25210.09745,0.00013125,0.040255688,249.43,,,Transfer
0x811997084936f24d518b534c3118aafec9755e7318ad40f8db79301eb77c0ea9,19893208,1658854699,7/26/22 16:58,0x6e9afd530416fc332d47939463c292d9062209b1,0x1b44dd67cdd0d725129cdddca2ae5db239594f46,,0,100,30671,0.00013125,0.040255688,249.43,,,Transfer
0x30a91ac21c51b502e7947d0ff0e193b0d1f9ee7b63aade6a0ee0b7f7ce5e7a1f,19895556,1658861749,7/26/22 18:55,0x6e9afd530416fc332d47939463c292d9062209b1,0x1b44dd67cdd0d725129cdddca2ae5db239594f46,,0,82.49418918,25301.79276,0.00013125,0.040255688,249.43,,,Transfer
0x82803747777f55655227dc7766a7f8ff12355e35cb294d473d6b0d2cd8d4de28,19912598,1658913029,7/27/22 9:10,0x6e9afd530416fc332d47939463c292d9062209b1,0xaeb17c2f7b833c0ad117c476edf30059f50f9b09,,0,7.930724997,2432.432664,0.00013125,0.040255688,271.71,,,Transfer
0x818dcfcd9ae757e6ffa1919f7065155abac9b889aae1006780b1875db6af8b2b,19925776,1658952705,7/27/22 20:11,0x6e9afd530416fc332d47939463c292d9062209b1,0x61ac622c4a311c3d22f613933713de167e3d4a07,,0,200,61342,0.00013125,0.040255688,271.71,,,Transfer
0x040523632ec122f60e1a575d59a79a386ac542f61784b2898ab8481889488207,19928325,1658960353,7/27/22 22:19,0x6e9afd530416fc332d47939463c292d9062209b1,0x1b44dd67cdd0d725129cdddca2ae5db239594f46,,0,200,61342,0.00013125,0.040255688,271.71,,,Transfer
0x3caf4d29d5346b3036544e93148f6193706bbf46e0504f0e709e7760693f1732,19939223,1658993147,7/28/22 7:25,0x6e9afd530416fc332d47939463c292d9062209b1,0x61ac622c4a311c3d22f613933713de167e3d4a07,,0,400,122684,0.00013125,0.040255688,277.34,,,Transfer
0x6b3531bc9c30da6e0738fcb0e4e3d7fee7fb9fdd85f6eb67edaf3e3368a623a5,19952411,1659032881,7/28/22 18:28,0x6e9afd530416fc332d47939463c292d9062209b1,0x8f0d9acb433ca1c0f214990c4c908f2aa12387e4,,0,300,92013,0.000105,0.03220455,277.34,,,Transfer
0x518b8f257145656e1407731c5d4fc19225fca300f6c80b6484cc8afc7edb3d00,19952630,1659033568,7/28/22 18:39,0x6e9afd530416fc332d47939463c292d9062209b1,0x4b9818718090dc53837485726c7ac094bb30bbea,,0,20,6134.2,0.000105,0.03220455,277.34,,,Transfer
0xa72ec045446a60884d4b24ce59c743f648ebc285956f7457a7cf35f3b5bebd9c,19969655,1659084884,7/29/22 8:54,0x6e9afd530416fc332d47939463c292d9062209b1,0x0000000000000000000000000000000000001004,,0,15.002,4601.26342,0.00038125,0.116933188,293.85,,,Transfer Out
0x646762e96e6508b876340e9a91f6d6ab7b87ffdbdc0f648a8f75bce37e5357b4,19976298,1659104899,7/29/22 14:28,0x6e9afd530416fc332d47939463c292d9062209b1,0x389fcea09fa4e86f5b7afe54ea1c54e553336f5e,,0,5,1533.55,0.000105,0.03220455,293.85,,,Transfer
0x9a981737363db543059c17619421f4588d9eb2f010a84953172591d952dc0a1a,20068312,1659381753,8/1/22 19:22,0x6e9afd530416fc332d47939463c292d9062209b1,0x4b9818718090dc53837485726c7ac094bb30bbea,,0,50,15335.5,0.000105,0.03220455,283.5,,,Transfer
0x66b434e1f2916605a9917aed87e84479ad934b86c0eb84fc302af60fd4e25a7d,20106907,1659497683,8/3/22 3:34,0x6e9afd530416fc332d47939463c292d9062209b1,0x527f0772eb635cd7ef8a6d8fc3aeec781fa36b25,,0,100,30671,0.000105,0.03220455,298.25,,,Transfer
0xcea66de18e3e695357e2cfa9506a0b2a2bb3e3b1425d599cfa48e83135ccb1df,20115451,1659523317,8/3/22 10:41,0x6e9afd530416fc332d47939463c292d9062209b1,0x8f0d9acb433ca1c0f214990c4c908f2aa12387e4,,0,100,30671,0.000105,0.03220455,298.25,,,Transfer
0xcf71b41f080c4d9dacd1116ff5d1f8f63aa36e268a40738556da7d8c98382e5a,20124546,1659550621,8/3/22 18:17,0x6e9afd530416fc332d47939463c292d9062209b1,0x8d9a21da7c6e16b06e3c3bda918a344afba02f90,,0,0.37,113.4827,0.000105,0.03220455,298.25,,,Transfer
0xd214c1c2bf71483881020f159dc6ca4b9afc5fec786f9487ec597ea23892bb58,20128309,1659561930,8/3/22 21:25,0x6e9afd530416fc332d47939463c292d9062209b1,0x8d9a21da7c6e16b06e3c3bda918a344afba02f90,,0,0.446,136.79266,0.000105,0.03220455,298.25,,,Transfer
0xf58b2dc31226c28f6273416e517cb3a9986f63389e13ae125880317b1585e995,20146732,1659617279,8/4/22 12:47,0x6e9afd530416fc332d47939463c292d9062209b1,0x190364cd29f19b7f295effea1e57180845ef81ea,,0,33.3,10213.443,0.000105,0.03220455,311.87,,,Transfer
0xf36f665df9f008db50a85041fd7aaf83916fe9f208faa9467ae261c9dda157a7,20171179,1659690721,8/5/22 9:12,0x6e9afd530416fc332d47939463c292d9062209b1,0x4c8608dfa3fa8617599b38983b57f0210192d9cc,,0,0.7,214.697,0.000105,0.03220455,315.95,,,Transfer
0xa9e2627f55d391f6c4b0bec460ce7df48bd99ce52ea2bf40419219b7d892b216,20174314,1659700156,8/5/22 11:49,0x6e9afd530416fc332d47939463c292d9062209b1,0x190364cd29f19b7f295effea1e57180845ef81ea,,0,31.4,9630.694,0.000105,0.03220455,315.95,,,Transfer
0x77ac1b71ad5c1ccefa6f5e3a77a9dac0456019ac24fb01114a6ac4409192f5fd,20183923,1659729095,8/5/22 19:51,0x6e9afd530416fc332d47939463c292d9062209b1,0x67cd006ba2d66e564a551240a02e1c8be9c5815f,,0,41.37,12688.5927,0.000105,0.03220455,315.95,,,Transfer
0x438ff2b1a0f7a506d51346f7753cc98abc5aadcb7b27c079b43e134bd20c80d0,20184509,1659730853,8/5/22 20:20,0x6e9afd530416fc332d47939463c292d9062209b1,0x25c47b48ef1f64dce9db7b5da9791e3a69a264b7,,0,250,76677.5,0.000105,0.03220455,315.95,,,Transfer
0x7cad0fe1345dacdd9803faf469bd295ffa8e22f935f2fb42e296d60198810079,20185257,1659733097,8/5/22 20:58,0x6e9afd530416fc332d47939463c292d9062209b1,0x1bb2d2b396edc607ce8149820ad7c121aa6c41fc,,0,200,61342,0.000105,0.03220455,315.95,,,Transfer
0x64cec796c74d7e31996fc14428e849d5fad7270cc4cd3df03caa1645ec2b6ee6,20197694,1659770458,8/6/22 7:20,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,48,14722.08,0.001370754,0.420423959,315.31,,,Swap Exact ETH For Tokens
0x0c8a174015a32e483408f52d23a2fa273b93c75b07986444913c6d777f0d631f,20201525,1659781951,8/6/22 10:32,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,40,12268.4,0.001265754,0.388219409,315.31,,,Swap Exact ETH For Tokens
0xb8f2832b98da9adf566e0afa74381716555c4b685173dc083f4d19c99f880abf,20209580,1659806177,8/6/22 17:16,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,30,9201.3,0.001265754,0.388219409,315.31,,,Swap Exact ETH For Tokens
0xb3e750e8252629cb0b3b2ff3fbbea8c686e7b0debc2751a1971ca0e6fab658ff,20211686,1659812495,8/6/22 19:01,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,30,9201.3,0.001790754,0.549242159,315.31,,,Swap Exact ETH For Tokens
0x4b170952c47797040dd24e2088725c3db04c989e28e8f74d48e8b0e90473795d,20232098,1659873813,8/7/22 12:03,0x6e9afd530416fc332d47939463c292d9062209b1,0x3a5b08315d36fe586cc1fd2817b785998fc65ea4,,0,0,0,0.000311521,0.095546606,322.79,,,Approve
0x7706f7f912126fdbc35806ac052487578c7bcb6464e8c3187b3dafe15352c782,20232106,1659873837,8/7/22 12:03,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0,0,0.001018066,0.312251023,322.79,,,Swap Tokens For Exact ETH
0x5f381556fc8ee484f28d137d9d0247c3f830120291f915cab2d84b266b6f7d69,20232123,1659873888,8/7/22 12:04,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0,0,0.001018066,0.312251023,322.79,,,Swap Tokens For Exact ETH
0xa3077a3e519bbff88ae92860f3978e39302e50fe908446529f930fedeee74d31,20232173,1659874038,8/7/22 12:07,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0,0,0.000913185,0.280082971,322.79,,,Swap Exact Tokens For ETH
0x67cbde45396d883ac7472ab7a60763ebbf1be0a72275c4adfef5807d81948e1f,20272568,1659995238,8/8/22 21:47,0x6e9afd530416fc332d47939463c292d9062209b1,0x9b28e5a35eb7f121792f56a26c04415f09f29e91,,0,100,30671,0.000105,0.03220455,325.04,,,Transfer
0x44ecfa97705e352a355f95b7bcb6d9ca3e90c164e62a5d4454dcad111bc89002,20321843,1660143397,8/10/22 14:56,0x6e9afd530416fc332d47939463c292d9062209b1,0x1bb2d2b396edc607ce8149820ad7c121aa6c41fc,,0,500,153355,0.000105,0.03220455,328.9,,,Transfer
0xcb52d0c2477d67da2ba2f1b2564d1bc71f6ae188cddc33153a50807d8d18e373,20328992,1660164844,8/10/22 20:54,0x6e9afd530416fc332d47939463c292d9062209b1,0x55d398326f99059ff775485246999027b3197955,,0,0,0,0.000255575,0.078387408,328.9,,,Transfer
0x49d18540e89dcdefb8ea8b176e134787cabf2441d3cb3d5b425dca4d155a814b,20343125,1660207257,8/11/22 8:40,0x6e9afd530416fc332d47939463c292d9062209b1,0xc8c55fee1ff3f1ec2d25b9c9abe43ccc67b1b75b,,0,30.3,9293.313,0.000105,0.03220455,323.9,,,Transfer
0x743861c47d47eac849944fde7d2cf9123614047c0b81ce6d52f26b4bcf73c1c6,20384479,1660331344,8/12/22 19:09,0x6e9afd530416fc332d47939463c292d9062209b1,0x1bb2d2b396edc607ce8149820ad7c121aa6c41fc,,0,400,122684,0.000105,0.03220455,328.24,,,Transfer
0xc0c2512f36a2a0b839b9b869709ad6041f2e0bb2e3449b60c0e7f6c0f0ef6e00,20388600,1660343707,8/12/22 22:35,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,92.80892053,28465.42402,0.000995841,0.305434393,328.24,,,Swap ETH For Exact Tokens
0x770ccdf9a943b7d4bcb6a5f3020210c316d32d31b1ec2d558136e609c75263f8,20388625,1660343782,8/12/22 22:36,0x6e9afd530416fc332d47939463c292d9062209b1,0xe9e7cea3dedca5984780bafc599bd69add087d56,,0,0,0,0.000180635,0.055402561,328.24,,,Transfer
0x93b72b0ffd4e03fc9820630db93f8f1b35d176a82fcc9e7fcbd30c52509612f3,20388646,1660343845,8/12/22 22:37,0x6e9afd530416fc332d47939463c292d9062209b1,0x5fc9ec39b601238ef32a31075dfb8a772366a04b,,0,0.01,3.0671,0.000105,0.03220455,328.24,,,Transfer
0x069538d8994f2c744ffbcc3ac77deee3425bcec46d9d14461a17486a7e7b10fa,20438466,1660493381,8/14/22 16:09,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,13,3987.23,0.000887166,0.272102684,317.75,,,Swap Exact ETH For Tokens
0x397f4b17c5faae9d9703ebeb58ef98adde9181c28979fffb09dba9fa0d7d0129,20444733,1660512187,8/14/22 21:23,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,20,6134.2,0.00126609,0.388322464,317.75,,,Swap Exact ETH For Tokens
0x3eca393cf5fb65910f3b68eada8e2ededb50e4a7de8e06c92123aa225d7edc88,20444744,1660512220,8/14/22 21:23,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,10,3067.1,0.00126609,0.388322464,317.75,,,Swap Exact ETH For Tokens
0x55de43751985232a2fcf9f8932436700cc4c55c8e346d27e03df763d8a90d108,20503043,1660687680,8/16/22 22:08,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,94.95583383,29123.90379,0.000995841,0.305434393,316.17,,,Swap ETH For Exact Tokens
0x5053421ac461cc136f51c5c2dc714ecfb160d15531827f8dfed39a76da526494,20503254,1660688313,8/16/22 22:18,0x6e9afd530416fc332d47939463c292d9062209b1,0xe9e7cea3dedca5984780bafc599bd69add087d56,,0,0,0,0.000180635,0.055402561,316.17,,,Transfer
0xd4848f512a3c9ba2106581c205d89b046bca78c0b28b62c74f8183f299fea22d,20515462,1660724938,8/17/22 8:28,0x6e9afd530416fc332d47939463c292d9062209b1,0xc8c55fee1ff3f1ec2d25b9c9abe43ccc67b1b75b,,0,31.5,9661.365,0.000105,0.03220455,306.88,,,Transfer
0xd0bec785af26692731bd58f465f7502eeb36a0e7952ca0418275a47c533903a8,20523862,1660750146,8/17/22 15:29,0x6e9afd530416fc332d47939463c292d9062209b1,0x4c8608dfa3fa8617599b38983b57f0210192d9cc,,0,0.3,92.013,0.000105,0.03220455,306.88,,,Transfer
0x4e4d559e37104c5b38081d8dfab414d8b71fbae30d65f02d83bac8ec4da95019,20640933,1661101681,8/21/22 17:08,0x6e9afd530416fc332d47939463c292d9062209b1,0x489d2b8c7fa7f58a1ebe7b7b1d5be24b0f05201b,,0,40,12268.4,0.000105,0.03220455,301.88,,,Transfer
0xbd543f24d1ead731eca4dbbc49485871a04af176378f744a8610cc8d6472053a,20645451,1661115235,8/21/22 20:53,0x6e9afd530416fc332d47939463c292d9062209b1,0x489d2b8c7fa7f58a1ebe7b7b1d5be24b0f05201b,,0,50,15335.5,0.000105,0.03220455,301.88,,,Transfer
0x19fddf24e0e8aa8f9e7f919b25b5c8c51b382dd59d6d2590bfd29f9e700b5292,20647829,1661122369,8/21/22 22:52,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,99.35649428,30473.63036,0.000891401,0.273401601,301.88,,,Swap ETH For Exact Tokens
0x010eefa3a04fa6d9654e18398a89ca5bce2fc20e16d3cdd2ff9001ec06e58324,20648259,1661123659,8/21/22 23:14,0x6e9afd530416fc332d47939463c292d9062209b1,0x55d398326f99059ff775485246999027b3197955,,0,0,0,0.000255575,0.078387408,301.88,,,Transfer
0x5e707bc25836640b93591bcb05427c1c478131716ca9f02ee3c2abfbc411a295,20659755,1661158175,8/22/22 8:49,0x6e9afd530416fc332d47939463c292d9062209b1,0x1bb2d2b396edc607ce8149820ad7c121aa6c41fc,,0,50,15335.5,0.000105,0.03220455,299.91,,,Transfer
0x6ce6a09b4071ffead27afc900f80a7a869acd95c107f9691888cbae7083bcb92,20663742,1661170140,8/22/22 12:09,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,5,1533.55,0.001370922,0.420475487,299.91,,,Swap Exact ETH For Tokens
0x93101b007f8f3c0175d4479b56ddef81f8c96d17a7e657aa08f566281df6131e,20664359,1661171991,8/22/22 12:39,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,30,9201.3,0.001181418,0.362352715,299.91,,,Swap Exact ETH For Tokens
0x320e811cf2f72d934f95e5f4e318450e0ffb76e94320a753a1224cd51eb489d3,20664642,1661172840,8/22/22 12:54,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,10,3067.1,0.001265922,0.388270937,299.91,,,Swap Exact ETH For Tokens
0xd683819caa5ff363b725d895c66eb33b30895352ae05ee7f6e1dc2d0398a7c86,20664649,1661172861,8/22/22 12:54,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,20,6134.2,0.001266006,0.3882967,299.91,,,Swap Exact ETH For Tokens
0x487e9090c4028d5d0199184d0b21cd6abb1d982c41b347891c75092c3de4a36e,20665118,1661174274,8/22/22 13:17,0x6e9afd530416fc332d47939463c292d9062209b1,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,5,1533.55,0.001265922,0.388270937,299.91,,,Swap Exact ETH For Tokens
