date,btc,price
2022/8/29,Bitcoin BTC,19812.02
2022/8/30,Bitcoin BTC,19798.88
2022/8/31,Bitcoin BTC,20131.29
2022/9/1,Bitcoin BTC,19962.59
2022/9/2,Bitcoin BTC,20025.29
2022/9/3,Bitcoin BTC,19829.12
2022/9/4,Bitcoin BTC,19884.15
2022/9/5,Bitcoin BTC,19711.27
2022/9/6,Bitcoin BTC,19900.82
2022/9/7,Bitcoin BTC,18741.39
2022/9/8,Bitcoin BTC,19203.89
2022/9/9,Bitcoin BTC,20952.22
2022/9/10,Bitcoin BTC,21256.97
2022/9/11,Bitcoin BTC,21655.44
2022/9/12,Bitcoin BTC,22333.34
2022/9/13,Bitcoin BTC,21634.63
2022/9/14,Bitcoin BTC,20266.46
2022/9/15,Bitcoin BTC,20121.7
2022/9/16,Bitcoin BTC,19863.35
2022/9/17,Bitcoin BTC,19856.22
2022/9/18,Bitcoin BTC,19978.88
2022/9/19,Bitcoin BTC,18734.55
2022/9/20,Bitcoin BTC,19133.75
2022/9/21,Bitcoin BTC,19252.62
2022/9/22,Bitcoin BTC,19224.73
2022/9/23,Bitcoin BTC,18925.77
2022/9/24,Bitcoin BTC,19185.7
2022/9/25,Bitcoin BTC,19100.24
2022/9/26,Bitcoin BTC,18940.15
2022/9/27,Bitcoin BTC,20323.58
2022/9/28,Bitcoin BTC,19105.75
2022/9/29,Bitcoin BTC,19201.37
2022/9/30,Bitcoin BTC,19263.35
2022/10/1,Bitcoin BTC,19279.66
2022/10/2,Bitcoin BTC,19197.04
2022/10/3,Bitcoin BTC,19217.14
2022/10/4,Bitcoin BTC,19927.29
2022/10/5,Bitcoin BTC,20049.29